dataset             age           gender        education    race                                          apoe            mmse         cdr         moca
------------------  ------------  ------------  -----------  --------------------------------------------  --------------  -----------  ----------  -----------
ADNI_NC(n=481)      74.26±6.00    235 (48.86%)  16.34±2.67   whi:432 blk:36 ans:8 ind:1 haw:0 mix:3 ^      138 (29.614%)^  29.05±1.12   0.00±0.00^  25.71±2.59^
ADNI_MCI(n=971)     72.84±7.71    572 (58.91%)  15.94±2.81   whi:903 blk:34 ans:15 ind:2 haw:2 mix:12 ^    438 (47.198%)^  27.62±1.81   0.50±0.04   23.18±3.23^
ADNI_AD(n=369)      74.91±7.84    203 (55.01%)  15.18±2.97   whi:343 blk:15 ans:7 ind:0 haw:0 mix:4        229 (64.326%)^  23.19±2.11   0.77±0.26   16.80±4.50^
ADNI_OT(n=0)        NA            NA            NA           NA                                            NA              NA           NA          NA
p-val               <0.001        0.001         <0.001       0.113                                         <0.001          <0.001       <0.001      <0.001
----                ----          ----          ----         ----                                          ----            ----         ----        ----
NACC_NC(n=2524)     69.82±9.93^   871 (34.51%)  15.92±2.95^  whi:2120 blk:303 ans:55 ind:31 haw:2 mix:0 ^  599 (29.950%)^  28.98±1.31^  0.06±0.16^  26.80±2.44^
NACC_MCI(n=1175)    74.01±8.74^   555 (47.23%)  15.36±3.35^  whi:965 blk:160 ans:25 ind:17 haw:1 mix:0 ^   322 (38.655%)^  26.79±2.51^  0.46±0.18^  22.68±3.41^
NACC_AD(n=948)      74.97±9.13^   431 (45.46%)  14.64±3.64^  whi:816 blk:85 ans:23 ind:11 haw:0 mix:0 ^    346 (52.187%)^  20.48±5.69^  1.02±0.60^  15.39±5.44^
NACC_OT(n=175)      69.35±10.84^  110 (62.86%)  14.86±3.60^  whi:161 blk:10 ans:2 ind:1 haw:0 mix:0 ^      34 (25.954%)^   22.23±6.14^  1.07±0.70^  17.53±6.35^
p-val               <0.001        <0.001        <0.001       0.053                                         <0.001          <0.001       <0.001      <0.001
----                ----          ----          ----         ----                                          ----            ----         ----        ----
NIFD_NC(n=124)      63.21±7.27    56 (45.16%)   17.48±1.87^  whi:89 blk:0 ans:0 ind:0 haw:0 mix:3 ^        NA              29.35±0.76   0.03±0.12^  27.58±1.53^
NIFD_MCI(n=0)       NA            NA            NA           NA                                            NA              NA           NA          NA
NIFD_AD(n=0)        NA            NA            NA           NA                                            NA              NA           NA          NA
NIFD_OT(n=129)      63.66±7.33    75 (58.14%)   16.18±3.29^  whi:109 blk:1 ans:1 ind:0 haw:0 mix:4 ^       NA              24.75±4.54^  0.82±0.54^  19.69±5.72^
p-val               0.627         0.052         <0.001       0.653                                         NA              <0.001       <0.001      <0.001
----                ----          ----          ----         ----                                          ----            ----         ----        ----
PPMI_NC(n=171)      62.74±10.12   109 (63.74%)  15.82±2.93   whi:163 blk:3 ans:2 ind:0 haw:0 mix:1 ^       NA              NA           NA          27.51±2.37^
PPMI_MCI(n=27)      68.04±7.32    22 (81.48%)   15.52±3.08   whi:24 blk:1 ans:1 ind:0 haw:0 mix:1          NA              NA           NA          24.69±3.27^
PPMI_AD(n=0)        NA            NA            NA           NA                                            NA              NA           NA          NA
PPMI_OT(n=0)        NA            NA            NA           NA                                            NA              NA           NA          NA
p-val               0.010         0.111         0.619        0.291                                         NA              NA           NA          <0.001
----                ----          ----          ----         ----                                          ----            ----         ----        ----
AIBL_NC(n=480)      72.45±6.22    203 (42.29%)  NA           NA                                            12 (2.500%)     28.70±1.24   0.03±0.12   NA
AIBL_MCI(n=102)     74.73±7.11    53 (51.96%)   NA           NA                                            12 (11.765%)    27.10±2.08   0.47±0.14   NA
AIBL_AD(n=79)       73.34±7.77    33 (41.77%)   NA           NA                                            14 (17.722%)    20.42±5.46   0.93±0.54   NA
AIBL_OT(n=0)        NA            NA            NA           NA                                            NA              NA           NA          NA
p-val               0.006         0.189         NA           NA                                            <0.001          <0.001       <0.001      NA
----                ----          ----          ----         ----                                          ----            ----         ----        ----
OASIS_NC(n=424)     71.34±9.43    164 (38.68%)  15.79±2.62^  whi:53 blk:18 ans:1 ind:0 haw:0 mix:0 ^       121 (29.877%)   28.99±1.25^  0.00±0.02   NA
OASIS_MCI(n=27)     75.04±7.25    14 (51.85%)   15.19±2.76   whi:4 blk:1 ans:0 ind:0 haw:0 mix:0 ^         9 (36.000%)     28.15±1.67   0.52±0.09   NA
