variable        AUC     AP
------------  -----  -----
trailA        0.52   0.877
trailB        0.532  0.869
boston        0.569  0.887
digitB        0.533  0.891
digitBL       0.522  0.884
digitF        0.528  0.881
digitFL       0.54   0.885
animal        0.501  0.869
gds           0.608  0.895
lm_imm        0.638  0.913
lm_del        0.713  0.93
mmse          0.616  0.896
npiq_DEL      0.522  0.871
npiq_HALL     0.55   0.878
npiq_AGIT     0.501  0.86
npiq_DEPD     0.523  0.872
npiq_ANX      0.539  0.877
npiq_ELAT     0.508  0.868
npiq_APA      0.58   0.887
npiq_DISN     0.566  0.882
npiq_IRR      0.52   0.87
npiq_MOT      0.528  0.873
npiq_NITE     0.552  0.878
npiq_APP      0.541  0.875
faq_BILLS     0.511  0.859
faq_TAXES     0.522  0.872
faq_SHOPPING  0.538  0.875
faq_GAMES     0.571  0.879
faq_STOVE     0.53   0.878
faq_MEALPREP  0.521  0.885
faq_EVENTS    0.54   0.874
faq_PAYATTN   0.518  0.872
faq_REMDATES  0.527  0.871
faq_TRAVEL    0.501  0.864
his_NACCFAM   0.567  0.881
his_CVHATT    0.502  0.863
his_CVAFIB    0.53   0.868
his_CVANGIO   0.506  0.863
his_CVBYPASS  0.523  0.867
his_CVPACE    0.501  0.863
his_CVCHF     0.52   0.868
his_CVOTHR    0.502  0.862
his_CBSTROKE  0.515  0.866
his_CBTIA     0.501  0.864
his_SEIZURES  0.515  0.867
his_TBI       0.509  0.862
his_HYPERTEN  0.55   0.874
his_HYPERCHO  0.543  0.871
his_DIABETES  0.501  0.863
his_B12DEF    0.505  0.861
his_THYROID   0.548  0.873
his_INCONTU   0.517  0.867
his_INCONTF   0.503  0.862
his_DEP2YRS   0.525  0.867
his_DEPOTHR   0.506  0.863
his_PSYCDIS   0.509  0.865
his_ALCOHOL   0.508  0.863
his_TOBAC100  0.537  0.871
his_SMOKYRS   0.542  0.875
his_PACKSPER  0.545  0.874
his_ABUSOTHR  0.502  0.864
