variable        AUC     AP
------------  -----  -----
trailA        0.817  0.587
trailB        0.853  0.564
boston        0.825  0.59
digitB        0.753  0.458
digitBL       0.735  0.413
digitF        0.684  0.383
digitFL       0.654  0.329
animal        0.878  0.702
gds           0.6    0.275
lm_imm        0.907  0.722
lm_del        0.916  0.706
mmse          0.931  0.814
npiq_DEL      0.58   0.339
npiq_HALL     0.544  0.294
npiq_AGIT     0.628  0.357
npiq_DEPD     0.6    0.301
npiq_ANX      0.642  0.348
npiq_ELAT     0.516  0.246
npiq_APA      0.67   0.417
npiq_DISN     0.569  0.299
npiq_IRR      0.607  0.321
npiq_MOT      0.589  0.338
npiq_NITE     0.577  0.307
npiq_APP      0.595  0.32
faq_BILLS     0.928  0.79
faq_TAXES     0.936  0.801
faq_SHOPPING  0.88   0.752
faq_GAMES     0.841  0.689
faq_STOVE     0.73   0.55
faq_MEALPREP  0.853  0.71
faq_EVENTS    0.867  0.723
faq_PAYATTN   0.846  0.684
faq_REMDATES  0.925  0.776
faq_TRAVEL    0.908  0.766
his_NACCFAM   0.505  0.232
his_CVHATT    0.507  0.272
his_CVAFIB    0.509  0.272
his_CVANGIO   0.514  0.277
his_CVBYPASS  0.507  0.274
his_CVPACE    0.5    0.27
his_CVCHF     0.5    0.269
his_CVOTHR    0.501  0.27
his_CBSTROKE  0.506  0.272
his_CBTIA     0.512  0.276
his_SEIZURES  0.504  0.27
his_TBI       0.51   0.272
his_HYPERTEN  0.511  0.274
his_HYPERCHO  0.525  0.283
his_DIABETES  0.511  0.275
his_B12DEF    0.501  0.271
his_THYROID   0.507  0.273
his_INCONTU   0.537  0.286
his_INCONTF   0.517  0.279
his_DEP2YRS   0.587  0.319
his_DEPOTHR   0.504  0.271
his_PSYCDIS   0.504  0.269
his_ALCOHOL   0.508  0.272
his_TOBAC100  0.505  0.271
his_SMOKYRS   0.512  0.282
his_PACKSPER  0.505  0.27
his_ABUSOTHR  0.503  0.271
