variable        AUC     AP
------------  -----  -----
trailA        0.783  0.79
trailB        0.818  0.839
boston        0.791  0.762
digitB        0.725  0.719
digitBL       0.704  0.69
digitF        0.66   0.649
digitFL       0.632  0.624
animal        0.839  0.824
gds           0.647  0.633
lm_imm        0.872  0.86
lm_del        0.895  0.886
mmse          0.881  0.848
npiq_DEL      0.545  0.543
npiq_HALL     0.526  0.533
npiq_AGIT     0.597  0.574
npiq_DEPD     0.588  0.57
npiq_ANX      0.608  0.582
npiq_ELAT     0.513  0.527
npiq_APA      0.623  0.59
npiq_DISN     0.556  0.55
npiq_IRR      0.603  0.578
npiq_MOT      0.559  0.551
npiq_NITE     0.567  0.554
npiq_APP      0.575  0.561
faq_BILLS     0.794  0.742
faq_TAXES     0.807  0.762
faq_SHOPPING  0.733  0.676
faq_GAMES     0.706  0.673
faq_STOVE     0.632  0.602
faq_MEALPREP  0.709  0.677
faq_EVENTS    0.75   0.687
faq_PAYATTN   0.736  0.674
faq_REMDATES  0.82   0.756
faq_TRAVEL    0.781  0.716
his_NACCFAM   0.524  0.544
his_CVHATT    0.511  0.461
his_CVAFIB    0.512  0.461
his_CVANGIO   0.52   0.465
his_CVBYPASS  0.51   0.46
his_CVPACE    0.501  0.455
his_CVCHF     0.506  0.458
his_CVOTHR    0.503  0.456
his_CBSTROKE  0.518  0.464
his_CBTIA     0.51   0.459
his_SEIZURES  0.503  0.457
his_TBI       0.503  0.458
his_HYPERTEN  0.532  0.473
his_HYPERCHO  0.535  0.475
his_DIABETES  0.509  0.459
his_B12DEF    0.508  0.459
his_THYROID   0.521  0.468
his_INCONTU   0.53   0.471
his_INCONTF   0.51   0.46
his_DEP2YRS   0.58   0.501
his_DEPOTHR   0.514  0.465
his_PSYCDIS   0.501  0.458
his_ALCOHOL   0.508  0.459
his_TOBAC100  0.512  0.462
his_SMOKYRS   0.519  0.467
his_PACKSPER  0.511  0.465
his_ABUSOTHR  0.505  0.459
